iter	Passed	Remaining
0	147	147792
1	148	74257
2	149	49618
3	149	37300
4	150	29924
5	150	24998
6	151	21473
7	151	18803
8	152	16750
9	152	15106
10	153	13761
11	153	12641
12	154	11693
13	154	10879
14	154	10174
15	155	9558
16	155	9015
17	156	8533
18	156	8095
19	157	7705
20	157	7344
21	158	7028
22	158	6725
23	158	6451
24	159	6204
25	159	5971
26	159	5763
27	160	5574
28	161	5397
29	161	5237
30	162	5079
31	162	4929
32	163	4792
33	163	4653
34	164	4531
35	164	4414
36	165	4297
37	165	4192
38	165	4089
39	166	3994
40	166	3904
41	167	3819
42	167	3737
43	168	3659
44	168	3584
45	169	3512
46	169	3441
47	170	3377
48	170	3314
49	171	3253
50	171	3192
51	172	3136
52	172	3082
53	173	3030
54	173	2980
55	173	2932
56	174	2884
57	174	2835
58	175	2794
59	175	2749
60	176	2710
61	176	2670
62	176	2632
63	177	2595
64	177	2558
65	178	2523
66	178	2490
67	179	2457
68	179	2426
69	180	2396
70	180	2366
71	181	2333
72	181	2305
73	181	2274
74	182	2251
75	182	2224
76	183	2198
77	183	2173
78	184	2149
79	184	2124
80	185	2100
81	185	2078
82	186	2056
83	186	2034
84	187	2013
85	187	1993
86	187	1971
87	188	1951
88	188	1932
89	189	1913
90	190	1901
91	190	1884
92	191	1866
93	191	1849
94	192	1832
95	192	1816
96	193	1799
97	194	1789
98	194	1774
99	195	1758
100	195	1742
101	196	1727
102	196	1713
103	197	1699
104	197	1685
105	198	1671
106	198	1657
107	199	1643
108	199	1630
109	199	1617
110	200	1605
111	200	1592
112	201	1579
113	201	1568
114	202	1556
115	202	1544
116	203	1533
117	203	1522
118	204	1512
119	204	1501
120	205	1491
121	205	1482
122	206	1472
123	206	1462
124	207	1451
125	207	1442
126	208	1432
127	208	1423
128	209	1413
129	209	1404
130	210	1395
131	210	1386
132	211	1378
133	211	1369
134	212	1360
135	212	1352
136	213	1344
137	213	1335
138	214	1327
139	214	1319
140	215	1311
141	215	1304
142	216	1296
143	216	1289
144	217	1281
145	217	1274
146	218	1267
147	218	1260
148	219	1253
149	220	1246
150	220	1240
151	221	1235
152	221	1228
153	222	1222
154	223	1216
155	223	1209
156	223	1202
157	224	1195
158	224	1189
159	225	1183
160	225	1177
161	226	1170
162	226	1164
163	227	1158
164	227	1153
165	228	1147
166	228	1141
167	229	1135
168	229	1130
169	230	1124
170	230	1119
171	231	1113
172	231	1108
173	232	1104
174	233	1099
175	233	1093
176	234	1088
177	234	1083
178	235	1078
179	235	1074
180	236	1069
181	236	1064
182	237	1059
183	237	1054
184	238	1049
185	238	1045
186	239	1040
187	239	1035
188	240	1030
189	240	1026
190	241	1021
191	241	1016
192	242	1012
193	242	1007
194	243	1003
195	243	998
196	244	994
197	244	990
198	244	986
199	245	981
200	245	977
201	246	973
202	246	969
203	247	965
204	247	961
205	248	957
206	248	953
207	249	949
208	249	945
209	250	942
210	251	939
211	251	935
212	252	931
213	252	928
214	253	924
215	253	920
216	254	917
217	254	913
218	255	910
219	255	906
220	256	903
221	256	899
222	257	896
223	257	892
224	258	889
225	258	886
226	259	882
227	259	879
228	260	875
229	260	872
230	261	869
231	261	866
232	262	863
233	262	859
234	263	856
235	263	853
236	264	850
237	264	847
238	265	844
239	265	841
240	266	838
241	266	835
242	267	832
243	267	830
244	268	827
245	268	824
246	269	821
247	269	818
248	270	815
249	270	812
250	271	809
251	271	806
252	272	803
253	272	801
254	273	798
255	273	795
256	274	792
257	274	790
258	275	788
259	275	785
260	276	782
261	276	780
262	277	777
263	277	774
264	278	772
265	278	769
266	279	766
267	279	764
268	280	762
269	280	759
270	281	757
271	281	754
272	282	752
273	282	749
274	283	747
275	283	744
276	284	742
277	284	739
278	285	738
279	286	736
280	286	733
281	287	731
282	287	729
283	288	726
284	288	724
285	289	722
286	289	719
287	290	717
288	290	715
289	291	713
290	291	710
291	292	708
292	292	706
293	293	704
294	293	701
295	294	699
296	294	697
297	295	695
298	295	693
299	296	691
300	296	689
301	297	687
302	297	685
303	298	683
304	298	681
305	299	679
306	299	677
307	300	675
308	300	672
309	301	670
310	301	668
311	302	667
312	303	665
313	303	663
314	304	661
315	304	659
316	305	657
317	305	655
318	306	653
319	306	651
320	307	649
321	307	647
322	308	645
323	308	643
324	309	641
325	309	640
326	310	638
327	310	636
328	311	634
329	311	633
330	312	631
331	312	629
332	313	627
333	313	625
334	314	623
335	314	621
336	315	619
337	315	618
338	316	616
339	317	615
340	317	614
341	318	612
342	319	611
343	319	609
344	320	607
345	320	606
346	321	604
347	321	602
348	322	601
349	322	599
350	323	597
351	323	595
352	324	594
353	324	592
354	325	591
355	325	589
356	326	588
357	326	586
358	327	584
359	327	582
360	328	581
361	328	579
362	329	577
363	329	576
364	330	574
365	331	573
366	331	572
367	332	570
368	332	568
369	333	567
370	333	565
371	334	564
372	334	562
373	335	560
374	335	559
375	336	558
376	336	556
377	337	554
378	337	553
379	338	551
380	338	550
381	339	548
382	339	547
383	340	545
384	340	544
385	341	543
386	341	541
387	342	540
388	342	538
389	343	536
390	343	535
391	344	533
392	344	532
393	345	531
394	346	531
395	347	529
396	348	528
397	348	527
398	349	526
399	349	524
400	350	523
401	350	522
402	351	520
403	352	519
404	352	518
405	353	516
406	353	515
407	354	514
408	354	512
409	355	511
410	355	510
411	356	508
412	356	507
413	357	505
414	357	504
415	358	503
416	358	501
417	359	500
418	359	498
419	360	497
420	360	496
421	361	494
422	361	493
423	362	491
424	362	490
425	363	489
426	363	487
427	364	486
428	364	485
429	364	483
430	365	482
431	365	481
432	366	479
433	366	478
434	367	476
435	367	475
436	368	474
437	368	473
438	369	471
439	369	470
440	370	469
441	370	468
442	371	466
443	371	465
444	372	464
445	372	462
446	373	461
447	373	460
448	374	459
449	374	458
450	375	456
451	375	455
452	376	454
453	376	452
454	377	451
455	377	450
456	377	449
457	378	447
458	378	446
459	379	445
460	379	443
461	380	442
462	380	441
463	381	440
464	381	438
465	381	437
466	382	436
467	382	435
468	383	433
469	383	432
470	384	431
471	384	430
472	385	429
473	385	427
474	386	426
475	386	425
476	387	424
477	387	423
478	388	422
479	388	420
480	388	419
481	389	418
482	389	417
483	390	416
484	390	414
485	391	413
486	391	412
487	392	411
488	392	410
489	392	408
490	393	407
491	393	406
492	394	405
493	394	404
494	395	403
495	395	401
496	396	400
497	396	399
498	396	398
499	397	397
500	397	396
501	398	395
502	398	393
503	399	392
504	399	391
505	400	390
506	400	389
507	401	388
508	401	387
509	402	386
510	402	385
511	402	383
512	403	382
513	403	381
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	406	375
520	406	374
521	407	373
522	407	371
523	408	370
524	408	369
525	409	368
526	409	367
527	410	366
528	410	365
529	410	364
530	411	363
531	411	362
532	412	361
533	412	360
534	413	359
535	413	358
536	414	356
537	414	355
538	415	354
539	415	353
540	415	352
541	416	351
542	416	350
543	417	349
544	417	348
545	418	347
546	418	346
547	419	345
548	419	344
549	420	343
550	420	342
551	420	341
552	421	340
553	421	339
554	422	338
555	422	337
556	423	336
557	423	335
558	424	334
559	424	333
560	424	332
561	425	331
562	425	330
563	426	329
564	426	328
565	427	327
566	427	326
567	428	325
568	428	324
569	429	323
570	429	322
571	430	321
572	430	320
573	431	319
574	431	318
575	431	317
576	432	316
577	432	316
578	433	315
579	433	314
580	434	313
581	434	312
582	435	311
583	435	310
584	436	309
585	436	308
586	437	307
587	437	306
588	438	305
589	438	304
590	438	303
591	439	302
592	439	301
593	440	300
594	440	299
595	441	299
596	441	298
597	442	297
598	442	296
599	442	295
600	443	294
601	443	293
602	444	292
603	444	291
604	445	290
605	446	290
606	446	289
607	447	288
608	447	287
609	448	286
610	448	285
611	449	284
612	449	283
613	450	282
614	450	281
615	450	281
616	451	280
617	451	279
618	452	278
619	452	277
620	453	276
621	453	275
622	453	274
623	454	273
624	454	272
625	455	272
626	455	271
627	456	270
628	456	269
629	457	268
630	457	267
631	458	266
632	458	265
633	459	264
634	459	264
635	459	263
636	460	262
637	460	261
638	461	260
639	461	259
640	462	258
641	462	258
642	463	257
643	463	256
644	463	255
645	464	254
646	464	253
647	465	252
648	465	251
649	466	251
650	466	250
651	467	249
652	467	248
653	467	247
654	468	246
655	468	245
656	469	245
657	469	244
658	470	243
659	470	242
660	471	241
661	471	240
662	472	239
663	472	239
664	473	238
665	473	237
666	473	236
667	474	235
668	474	234
669	475	234
670	475	233
671	476	232
672	476	231
673	477	230
674	477	229
675	478	229
676	478	228
677	478	227
678	479	226
679	479	225
680	480	224
681	480	224
682	481	223
683	481	222
684	482	221
685	482	220
686	483	220
687	483	219
688	483	218
689	484	217
690	484	216
691	485	215
692	485	215
693	486	214
694	486	213
695	487	212
696	487	211
697	488	211
698	488	210
699	489	209
700	489	208
701	490	208
702	490	207
703	490	206
704	491	205
705	491	204
706	492	204
707	492	203
708	493	202
709	493	201
710	494	200
711	494	200
712	495	199
713	495	198
714	495	197
715	496	196
716	496	196
717	497	195
718	497	194
719	498	193
720	498	192
721	499	192
722	499	191
723	500	190
724	500	189
725	501	189
726	501	188
727	502	187
728	502	186
729	502	186
730	503	185
731	503	184
732	504	183
733	505	183
734	505	182
735	506	181
736	506	180
737	507	180
738	507	179
739	507	178
740	508	177
741	508	176
742	509	176
743	509	175
744	510	174
745	510	173
746	511	173
747	511	172
748	512	171
749	512	170
750	513	170
751	513	169
752	514	168
753	514	167
754	515	167
755	515	166
756	516	165
757	517	165
758	517	164
759	518	163
760	518	162
761	519	162
762	519	161
763	520	160
764	520	159
765	521	159
766	521	158
767	522	157
768	522	157
769	523	156
770	523	155
771	524	154
772	524	154
773	525	153
774	525	152
775	526	151
776	526	151
777	527	150
778	527	149
779	528	149
780	528	148
781	529	147
782	529	146
783	530	146
784	530	145
785	531	144
786	531	143
787	532	143
788	532	142
789	533	141
790	533	140
791	533	140
792	534	139
793	534	138
794	535	138
795	536	137
796	536	136
797	537	136
798	537	135
799	538	134
800	538	133
801	539	133
802	539	132
803	540	131
804	540	131
805	541	130
806	542	129
807	542	129
808	543	128
809	544	127
810	544	126
811	545	126
812	546	125
813	546	124
814	547	124
815	547	123
816	548	122
817	548	122
818	549	121
819	549	120
820	550	120
821	551	119
822	551	118
823	552	117
824	552	117
825	553	116
826	553	115
827	554	115
828	555	114
829	555	113
830	556	113
831	556	112
832	557	111
833	557	111
834	558	110
835	558	109
836	559	108
837	560	108
838	561	107
839	562	107
840	562	106
841	563	105
842	563	105
843	564	104
844	564	103
845	565	102
846	565	102
847	566	101
848	566	100
849	567	100
850	568	99
851	568	98
852	569	98
853	569	97
854	570	96
855	571	96
856	572	95
857	573	94
858	574	94
859	575	93
860	576	92
861	576	92
862	577	91
863	577	90
864	577	90
865	578	89
866	578	88
867	579	88
868	579	87
869	580	86
870	580	85
871	581	85
872	581	84
873	582	83
874	582	83
875	583	82
876	583	81
877	583	81
878	584	80
879	584	79
880	585	79
881	585	78
882	586	77
883	586	76
884	586	76
885	587	75
886	587	74
887	588	74
888	588	73
889	589	72
890	589	72
891	590	71
892	590	70
893	591	70
894	591	69
895	591	68
896	592	68
897	592	67
898	593	66
899	593	65
900	594	65
901	594	64
902	595	63
903	595	63
904	596	62
905	596	61
906	597	61
907	597	60
908	598	59
909	598	59
910	599	58
911	599	57
912	600	57
913	600	56
914	601	55
915	601	55
916	601	54
917	602	53
918	602	53
919	603	52
920	603	51
921	604	51
922	604	50
923	605	49
924	605	49
925	606	48
926	606	47
927	607	47
928	607	46
929	608	45
930	608	45
931	609	44
932	609	43
933	610	43
934	610	42
935	611	41
936	612	41
937	612	40
938	613	39
939	613	39
940	613	38
941	614	37
942	614	37
943	615	36
944	615	35
945	616	35
946	616	34
947	617	33
948	618	33
949	619	32
950	619	31
951	620	31
952	620	30
953	621	29
954	621	29
955	622	28
956	623	27
957	623	27
958	624	26
959	624	26
960	625	25
961	625	24
962	626	24
963	626	23
964	627	22
965	628	22
966	628	21
967	628	20
968	629	20
969	629	19
970	630	18
971	630	18
972	631	17
973	631	16
974	632	16
975	632	15
976	633	14
977	633	14
978	634	13
979	634	12
980	634	12
981	635	11
982	635	10
983	636	10
984	636	9
985	637	9
986	637	8
987	638	7
988	638	7
989	639	6
990	639	5
991	640	5
992	641	4
993	641	3
994	642	3
995	642	2
996	643	1
997	643	1
998	644	0
999	644	0
