,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_marks,average_marks
0,female,group B,bachelor's degree,standard,none,72,72,74,218,72.66666666666667
1,female,group C,some college,standard,completed,69,90,88,247,82.33333333333333
2,female,group B,master's degree,standard,none,90,95,93,278,92.66666666666667
3,male,group A,associate's degree,free/reduced,none,47,57,44,148,49.333333333333336
4,male,group C,some college,standard,none,76,78,75,229,76.33333333333333
5,female,group B,associate's degree,standard,none,71,83,78,232,77.33333333333333
6,female,group B,some college,standard,completed,88,95,92,275,91.66666666666667
7,male,group B,some college,free/reduced,none,40,43,39,122,40.666666666666664
8,male,group D,high school,free/reduced,completed,64,64,67,195,65.0
9,female,group B,high school,free/reduced,none,38,60,50,148,49.333333333333336
10,male,group C,associate's degree,standard,none,58,54,52,164,54.666666666666664
11,male,group D,associate's degree,standard,none,40,52,43,135,45.0
12,female,group B,high school,standard,none,65,81,73,219,73.0
13,male,group A,some college,standard,completed,78,72,70,220,73.33333333333333
14,female,group A,master's degree,standard,none,50,53,58,161,53.666666666666664
15,female,group C,some high school,standard,none,69,75,78,222,74.0
16,male,group C,high school,standard,none,88,89,86,263,87.66666666666667
17,female,group B,some high school,free/reduced,none,18,32,28,78,26.0
18,male,group C,master's degree,free/reduced,completed,46,42,46,134,44.666666666666664
19,female,group C,associate's degree,free/reduced,none,54,58,61,173,57.666666666666664
20,male,group D,high school,standard,none,66,69,63,198,66.0
21,female,group B,some college,free/reduced,completed,65,75,70,210,70.0
22,male,group D,some college,standard,none,44,54,53,151,50.333333333333336
23,female,group C,some high school,standard,none,69,73,73,215,71.66666666666667
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,75.0
25,male,group A,master's degree,free/reduced,none,73,74,72,219,73.0
26,male,group B,some college,standard,none,69,54,55,178,59.333333333333336
27,female,group C,bachelor's degree,standard,none,67,69,75,211,70.33333333333333
28,male,group C,high school,standard,none,70,70,65,205,68.33333333333333
29,female,group D,master's degree,standard,none,62,70,75,207,69.0
30,female,group D,some college,standard,none,69,74,74,217,72.33333333333333
31,female,group B,some college,standard,none,63,65,61,189,63.0
32,female,group E,master's degree,free/reduced,none,56,72,65,193,64.33333333333333
33,male,group D,some college,standard,none,40,42,38,120,40.0
34,male,group E,some college,standard,none,97,87,82,266,88.66666666666667
35,male,group E,associate's degree,standard,completed,81,81,79,241,80.33333333333333
36,female,group D,associate's degree,standard,none,74,81,83,238,79.33333333333333
37,female,group D,some high school,free/reduced,none,50,64,59,173,57.666666666666664
38,female,group D,associate's degree,free/reduced,completed,75,90,88,253,84.33333333333333
39,male,group B,associate's degree,free/reduced,none,57,56,57,170,56.666666666666664
40,male,group C,associate's degree,free/reduced,none,55,61,54,170,56.666666666666664
41,female,group C,associate's degree,standard,none,58,73,68,199,66.33333333333333
42,female,group B,associate's degree,standard,none,53,58,65,176,58.666666666666664
43,male,group B,some college,free/reduced,completed,59,65,66,190,63.333333333333336
44,female,group E,associate's degree,free/reduced,none,50,56,54,160,53.333333333333336
45,male,group B,associate's degree,standard,none,65,54,57,176,58.666666666666664
46,female,group A,associate's degree,standard,completed,55,65,62,182,60.666666666666664
47,female,group C,high school,standard,none,66,71,76,213,71.0
48,female,group D,associate's degree,free/reduced,completed,57,74,76,207,69.0
49,male,group C,high school,standard,completed,82,84,82,248,82.66666666666667
50,male,group E,some college,standard,none,53,55,48,156,52.0
51,male,group E,associate's degree,free/reduced,completed,77,69,68,214,71.33333333333333
52,male,group C,some college,standard,none,53,44,42,139,46.333333333333336
53,male,group D,high school,standard,none,88,78,75,241,80.33333333333333
54,female,group C,some high school,free/reduced,completed,71,84,87,242,80.66666666666667
55,female,group C,high school,free/reduced,none,33,41,43,117,39.0
56,female,group E,associate's degree,standard,completed,82,85,86,253,84.33333333333333
57,male,group D,associate's degree,standard,none,52,55,49,156,52.0
58,male,group D,some college,standard,completed,58,59,58,175,58.333333333333336
59,female,group C,some high school,free/reduced,none,0,17,10,27,9.0
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,75.0
61,male,group A,some high school,free/reduced,none,39,39,34,112,37.333333333333336
62,male,group A,associate's degree,free/reduced,none,62,61,55,178,59.333333333333336
63,female,group C,associate's degree,standard,none,69,80,71,220,73.33333333333333
64,female,group D,some high school,standard,none,59,58,59,176,58.666666666666664
65,male,group B,some high school,standard,none,67,64,61,192,64.0
66,male,group D,some high school,free/reduced,none,45,37,37,119,39.666666666666664
67,female,group C,some college,standard,none,60,72,74,206,68.66666666666667
68,male,group B,associate's degree,free/reduced,none,61,58,56,175,58.333333333333336
69,female,group C,associate's degree,standard,none,39,64,57,160,53.333333333333336
70,female,group D,some college,free/reduced,completed,58,63,73,194,64.66666666666667
71,male,group D,some college,standard,completed,63,55,63,181,60.333333333333336
72,female,group A,associate's degree,free/reduced,none,41,51,48,140,46.666666666666664
73,male,group C,some high school,free/reduced,none,61,57,56,174,58.0
74,male,group C,some high school,standard,none,49,49,41,139,46.333333333333336
75,male,group B,associate's degree,free/reduced,none,44,41,38,123,41.0
76,male,group E,some high school,standard,none,30,26,22,78,26.0
77,male,group A,bachelor's degree,standard,completed,80,78,81,239,79.66666666666667
78,female,group D,some high school,standard,completed,61,74,72,207,69.0
79,female,group E,master's degree,standard,none,62,68,68,198,66.0
80,female,group B,associate's degree,standard,none,47,49,50,146,48.666666666666664
81,male,group B,high school,free/reduced,none,49,45,45,139,46.333333333333336
82,male,group A,some college,free/reduced,completed,50,47,54,151,50.333333333333336
83,male,group E,associate's degree,standard,none,72,64,63,199,66.33333333333333
84,male,group D,high school,free/reduced,none,42,39,34,115,38.333333333333336
85,female,group C,some college,standard,none,73,80,82,235,78.33333333333333
86,female,group C,some college,free/reduced,none,76,83,88,247,82.33333333333333
87,female,group D,associate's degree,standard,none,71,71,74,216,72.0
88,female,group A,some college,standard,none,58,70,67,195,65.0
89,female,group D,some high school,standard,none,73,86,82,241,80.33333333333333
90,female,group C,bachelor's degree,standard,none,65,72,74,211,70.33333333333333
91,male,group C,high school,free/reduced,none,27,34,36,97,32.333333333333336
